date,home_team,away_team,home_score,away_score,home_position,away_position,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_avg_goals_scored_per_match,away_avg_goals_scored_per_match,home_avg_goals_conceded_per_match,away_avg_goals_conceded_per_match,home_clean_sheets,away_clean_sheets,home_biggest_win,away_biggest_win,home_worst_defeat,away_worst_defeat,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls_conceded,away_fouls_conceded
08/13/2011,Blackburn Rovers,Wolverhampton Wanderers,1,2,19,20,8,5,7,10,23,23,1.26,1.05,2.05,2.16,3,4,4 - 2 v Swansea ( H),3 - 1 v Wigan ( H),7 - 1 v Arsenal ( A),5 - 0 v Fulham ( A),52.0,48.0,2.0,4.0,17.0,15.0,548.0,504.0,330.0,298.0,13.0,24.0,33.0,25.0,12.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0,13.0,11.0
08/13/2011,Fulham,Aston Villa,0,0,9,16,14,7,10,17,14,14,1.26,0.97,1.34,1.39,11,9,6 - 0 v QPR ( H),3 - 1 v Blackburn ( H),0 - 5 v Man Utd ( H),4 - 0 v Man Utd ( A),54.1,45.9,5.0,1.0,15.0,7.0,584.0,546.0,419.0,352.0,9.0,11.0,25.0,43.0,2.0,3.0,5.0,4.0,2.0,4.0,0.0,0.0,10.0,19.0
08/13/2011,Liverpool,Sunderland,1,1,8,13,14,11,10,12,14,15,1.24,1.18,1.05,1.21,12,12,4 - 1 v Chelsea ( H),4 - 0 v Stoke ( H),4 - 0 v Spurs ( A),4 - 0 v West Brom ( A),60.1,39.9,3.0,4.0,14.0,14.0,663.0,496.0,480.0,316.0,18.0,16.0,17.0,32.0,6.0,3.0,1.0,2.0,4.0,4.0,0.0,0.0,17.0,13.0
08/13/2011,Newcastle United,Arsenal,0,0,5,3,19,21,8,7,11,10,1.47,1.95,1.34,1.29,15,13,3 - 0 v Man Utd ( H),7 - 1 v Blackburn ( H),5 - 0 v Spurs ( A),8 - 2 v Man Utd ( A),37.8,62.2,1.0,2.0,8.0,11.0,523.0,762.0,320.0,548.0,23.0,22.0,31.0,27.0,2.0,5.0,3.0,1.0,3.0,5.0,0.0,1.0,10.0,11.0
08/13/2011,Queens Park Rangers,Bolton Wanderers,0,4,17,18,10,10,7,6,21,22,1.13,1.21,1.74,2.03,7,3,0 - 3 v Wolves ( A),5 - 0 v Stoke ( H),6 - 0 v Fulham ( A),0 - 5 v Man Utd ( H),45.2,54.8,2.0,5.0,17.0,18.0,546.0,633.0,332.0,418.0,16.0,23.0,45.0,38.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,9.0,16.0
08/13/2011,Wigan Athletic,Norwich City,1,1,15,12,11,12,10,11,17,15,1.11,1.37,1.63,1.74,8,3,4 - 0 v Newcastle ( H),4 - 2 v Newcastle ( H),5 - 0 v Man Utd ( A),1 - 6 v Man City ( H),49.5,50.5,7.0,2.0,20.0,13.0,595.0,578.0,363.0,378.0,16.0,24.0,48.0,19.0,7.0,3.0,0.0,5.0,2.0,2.0,0.0,0.0,12.0,8.0
08/14/2011,Stoke City,Chelsea,0,0,14,6,11,18,12,10,15,10,0.95,1.71,1.39,1.21,9,10,3 - 1 v Blackburn ( H),6 - 1 v QPR ( H),5 - 0 v Bolton ( A),4 - 1 v Liverpool ( A),34.4,65.6,1.0,7.0,6.0,19.0,457.0,686.0,228.0,454.0,32.0,16.0,40.0,26.0,4.0,6.0,1.0,5.0,2.0,2.0,0.0,0.0,13.0,12.0
08/14/2011,West Bromwich Albion,Manchester United,1,2,10,2,13,28,8,5,17,5,1.18,2.34,1.37,0.87,10,20,1 - 5 v Wolves ( A),8 - 2 v Arsenal ( H),4 - 0 v Man City ( A),1 - 6 v Man City ( H),40.8,59.2,3.0,1.0,16.0,11.0,522.0,679.0,346.0,496.0,14.0,14.0,29.0,30.0,6.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,19.0,11.0
08/15/2011,Manchester City,Swansea City,4,0,1,11,28,12,5,11,5,15,2.45,1.16,0.76,1.34,17,14,1 - 6 v Man Utd ( A),3 - 0 v West Brom ( H),2 - 1 v Chelsea ( A),4 - 0 v Man City ( A),42.4,57.6,15.0,3.0,30.0,8.0,630.0,781.0,424.0,580.0,19.0,20.0,18.0,27.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0
08/20/2011,Arsenal,Liverpool,0,2,3,8,21,14,7,10,10,14,1.95,1.24,1.29,1.05,13,12,7 - 1 v Blackburn ( H),4 - 1 v Chelsea ( H),8 - 2 v Man Utd ( A),4 - 0 v Spurs ( A),49.8,50.2,3.0,6.0,12.0,14.0,697.0,691.0,469.0,477.0,18.0,31.0,35.0,22.0,9.0,5.0,0.0,6.0,1.0,2.0,1.0,0.0,10.0,8.0
