date,home_team,away_team,home_score,away_score,home_position,away_position,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_avg_goals_scored_per_match,away_avg_goals_scored_per_match,home_avg_goals_conceded_per_match,away_avg_goals_conceded_per_match,home_clean_sheets,away_clean_sheets,home_biggest_win,away_biggest_win,home_worst_defeat,away_worst_defeat,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls_conceded,away_fouls_conceded
08/09/2019,Liverpool,Norwich City,4,1,1,20,32,5,3,6,3,27,2.24,0.68,0.87,1.97,15,5,0 - 4 v Leicester ( A),3 - 1 v Newcastle ( H),4 - 0 v Man City ( A),5 - 0 v Man City ( A),57.9,42.1,7.0,5.0,15.0,12.0,662.0,577.0,477.0,363.0,21.0,12.0,5.0,35.0,11.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,9.0,9.0
08/10/2019,AFC Bournemouth,Sheffield United,1,1,18,9,9,14,7,12,22,12,1.05,1.03,1.71,1.03,5,13,4 - 1 v Leicester ( H),3 - 0 v Burnley ( H),4 - 0 v West Ham ( A),3 - 0 v Newcastle ( A),52.9,47.1,3.0,3.0,13.0,8.0,671.0,615.0,485.0,428.0,18.0,14.0,13.0,16.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,10.0,19.0
08/10/2019,Burnley,Southampton,3,0,10,11,15,15,9,7,14,16,1.13,1.34,1.32,1.58,15,9,3 - 0 v Southampton ( H),0 - 3 v Norwich ( A),5 - 0 v Spurs ( A),0 - 9 v Leicester ( H),46.5,53.5,4.0,3.0,10.0,11.0,549.0,579.0,332.0,393.0,21.0,7.0,13.0,18.0,2.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,12.0
08/10/2019,Crystal Palace,Everton,0,0,14,12,11,13,10,10,17,15,0.82,1.16,1.32,1.47,10,9,2 - 0 v Norwich ( H),3 - 1 v Chelsea ( H),4 - 0 v Spurs ( A),4 - 0 v Chelsea ( A),35.4,64.6,2.0,3.0,6.0,10.0,467.0,722.0,268.0,500.0,21.0,14.0,21.0,18.0,6.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,16.0,14.0
08/11/2019,Leicester City,Wolverhampton Wanderers,0,0,5,7,18,15,8,14,12,9,1.76,1.34,1.08,1.05,13,13,0 - 9 v Southampton ( A),3 - 0 v Norwich ( H),0 - 4 v Liverpool ( H),2 - 5 v Chelsea ( H),70.0,30.0,1.0,2.0,16.0,8.0,871.0,508.0,665.0,291.0,20.0,19.0,12.0,33.0,12.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,13.0
08/10/2019,Tottenham Hotspur,Aston Villa,3,1,6,17,16,9,11,8,11,21,1.61,1.08,1.24,1.76,8,7,5 - 0 v Burnley ( H),1 - 5 v Norwich ( A),3 - 0 v Brighton ( A),1 - 6 v Man City ( H),70.1,29.9,7.0,4.0,31.0,7.0,792.0,461.0,587.0,256.0,17.0,29.0,6.0,39.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,9.0
08/10/2019,Watford,Brighton and Hove Albion,0,3,19,15,8,9,10,14,20,15,0.95,1.03,1.68,1.42,9,9,3 - 0 v Aston Villa ( H),0 - 3 v Watford ( A),8 - 0 v Man City ( A),0 - 5 v Man City ( H),48.2,51.8,3.0,3.0,11.0,5.0,602.0,637.0,414.0,442.0,12.0,24.0,10.0,24.0,5.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,15.0,11.0
08/10/2019,West Ham United,Manchester City,0,5,16,2,10,26,9,3,19,9,1.29,2.68,1.63,0.92,7,17,4 - 0 v Bournemouth ( H),8 - 0 v Watford ( H),0 - 5 v Man City ( H),3 - 1 v Liverpool ( A),42.9,57.1,3.0,9.0,5.0,14.0,571.0,722.0,403.0,547.0,18.0,18.0,9.0,13.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,6.0,13.0
08/11/2019,Manchester United,Chelsea,4,0,3,4,18,20,12,6,8,12,1.74,1.82,0.95,1.42,13,9,4 - 0 v Chelsea ( H),4 - 0 v Everton ( H),2 - 0 v West Ham ( A),4 - 0 v Man Utd ( A),46.2,53.8,5.0,7.0,11.0,18.0,649.0,730.0,449.0,523.0,16.0,21.0,19.0,11.0,3.0,5.0,2.0,0.0,3.0,4.0,0.0,0.0,15.0,13.0
08/11/2019,Newcastle United,Arsenal,0,1,13,8,11,14,11,14,16,10,1,1.47,1.53,1.26,11,10,1 - 4 v Bournemouth ( A),4 - 0 v Newcastle ( H),5 - 0 v Leicester ( A),0 - 3 v Man City ( H),38.1,61.9,2.0,2.0,9.0,8.0,577.0,819.0,378.0,616.0,26.0,11.0,17.0,22.0,5.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,12.0,7.0
