date,home_team,away_team,home_score,away_score,home_position,away_position,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_avg_goals_scored_per_match,away_avg_goals_scored_per_match,home_avg_goals_conceded_per_match,away_avg_goals_conceded_per_match,home_clean_sheets,away_clean_sheets,home_biggest_win,away_biggest_win,home_worst_defeat,away_worst_defeat,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls_conceded,away_fouls_conceded
08/13/2016,Burnley,Swansea City,0,1,16,15,11,12,7,5,20,21,1.03,1.18,1.45,1.84,10,8,4 - 1 v Sunderland ( H),3 - 0 v Sunderland ( H),4 - 0 v West Brom ( A),5 - 0 v Spurs ( A),47.5,52.5,3.0,9.0,10.0,17.0,558.0,613.0,353.0,383.0,14.0,19.0,16.0,49.0,7.0,4.0,3.0,2.0,3.0,2.0,0.0,0.0,10.0,14.0
08/15/2016,Chelsea,West Ham United,2,1,1,11,30,12,3,9,5,17,2.24,1.24,0.87,1.68,16,10,5 - 0 v Everton ( H),1 - 4 v Swansea ( A),3 - 0 v Arsenal ( A),1 - 5 v Arsenal ( H),61.7,38.3,6.0,3.0,16.0,7.0,770.0,527.0,556.0,350.0,18.0,25.0,17.0,26.0,7.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,16.0,16.0
08/13/2016,Crystal Palace,West Bromwich Albion,0,1,14,10,12,12,5,9,21,17,1.32,1.13,1.66,1.34,7,6,4 - 0 v Hull ( H),4 - 0 v Burnley ( H),5 - 0 v Man City ( A),0 - 4 v Man City ( H),62.3,37.7,4.0,3.0,14.0,13.0,620.0,476.0,414.0,245.0,28.0,18.0,21.0,23.0,3.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,12.0,15.0
08/13/2016,Everton,Tottenham Hotspur,1,1,7,2,17,26,10,8,11,4,1.63,2.26,1.16,0.68,13,17,4 - 0 v Man City ( H),1 - 7 v Hull ( A),5 - 0 v Chelsea ( A),2 - 0 v Liverpool ( A),42.5,57.5,6.0,4.0,12.0,13.0,590.0,710.0,361.0,483.0,25.0,18.0,40.0,22.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0
08/13/2016,Hull City,Leicester City,2,1,18,12,9,12,7,8,22,18,0.97,1.26,2.11,1.66,5,9,4 - 2 v Middlesbrough ( H),3 - 0 v Burnley ( H),1 - 7 v Spurs ( H),1 - 6 v Spurs ( H),49.7,50.3,5.0,5.0,14.0,18.0,645.0,619.0,449.0,453.0,20.0,14.0,29.0,15.0,5.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,8.0,17.0
08/13/2016,Manchester City,Sunderland,2,1,3,20,23,6,9,6,6,26,2.11,0.76,1.03,1.82,12,6,5 - 0 v Crystal Palace ( H),0 - 4 v Crystal Palace ( A),4 - 0 v Everton ( A),5 - 1 v Chelsea ( A),76.9,23.1,4.0,3.0,16.0,7.0,864.0,395.0,681.0,189.0,5.0,17.0,26.0,35.0,9.0,6.0,1.0,2.0,1.0,2.0,0.0,0.0,11.0,14.0
08/13/2016,Middlesbrough,Stoke City,1,1,19,13,5,11,13,11,20,16,0.71,1.08,1.39,1.47,11,11,3 - 0 v Swansea ( H),3 - 1 v Swansea ( H),4 - 0 v Bournemouth ( A),0 - 4 v Spurs ( H),45.6,54.4,2.0,1.0,12.0,12.0,538.0,611.0,349.0,420.0,17.0,16.0,20.0,16.0,9.0,6.0,1.0,2.0,3.0,5.0,0.0,0.0,18.0,14.0
08/13/2016,Southampton,Watford,1,1,8,17,12,11,10,7,16,20,1.08,1.05,1.26,1.79,14,7,0 - 4 v Sunderland ( A),2 - 4 v West Ham ( A),1 - 4 v Spurs ( H),6 - 1 v Liverpool ( A),64.3,35.7,6.0,1.0,24.0,5.0,795.0,522.0,583.0,325.0,13.0,25.0,21.0,36.0,6.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,8.0,12.0
08/20/2016,Leicester City,Arsenal,0,0,12,5,12,23,8,6,18,9,1.26,2.03,1.66,1.16,9,13,3 - 0 v Burnley ( H),1 - 5 v West Ham ( A),1 - 6 v Spurs ( H),3 - 0 v Crystal Palace ( A),39.5,60.5,1.0,4.0,8.0,13.0,586.0,810.0,362.0,555.0,23.0,20.0,28.0,27.0,2.0,7.0,1.0,2.0,1.0,2.0,0.0,0.0,11.0,7.0
03/12/2017,Liverpool,Burnley,2,1,4,16,22,11,10,7,6,20,2.05,1.03,1.11,1.45,12,10,6 - 1 v Watford ( H),4 - 1 v Sunderland ( H),3 - 1 v Leicester ( A),4 - 0 v West Brom ( A),63.9,36.1,3.0,1.0,10.0,11.0,744.0,509.0,558.0,309.0,6.0,26.0,29.0,53.0,11.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,12.0,16.0
