date,home_team,away_team,home_score,away_score,home_position,away_position,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_avg_goals_scored_per_match,away_avg_goals_scored_per_match,home_avg_goals_conceded_per_match,away_avg_goals_conceded_per_match,home_clean_sheets,away_clean_sheets,home_biggest_win,away_biggest_win,home_worst_defeat,away_worst_defeat,home_possession_%,away_possession_%,home_shots_on_target,away_shots_on_target,home_shots,away_shots,home_touches,away_touches,home_passes,away_passes,home_tackles,away_tackles,home_clearances,away_clearances,home_corners,away_corners,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_fouls_conceded,away_fouls_conceded
08/16/2014,Arsenal,Crystal Palace,2,1,3,10,22,13,9,9,7,16,1.87,1.24,0.95,1.34,13,7,5 - 0 v Aston Villa ( H),1 - 4 v Sunderland ( A),2 - 0 v Chelsea ( A),3 - 0 v Man City ( A),76.9,23.1,6.0,2.0,14.0,4.0,975.0,444.0,730.0,222.0,26.0,33.0,30.0,40.0,9.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,13.0,19.0
08/16/2014,Leicester City,Everton,2,2,14,11,11,12,8,11,19,15,1.21,1.26,1.45,1.32,10,10,5 - 1 v QPR ( H),3 - 0 v Aston Villa ( H),1 - 3 v Liverpool ( H),3 - 6 v Chelsea ( H),36.5,63.5,3.0,3.0,11.0,13.0,531.0,784.0,344.0,605.0,13.0,19.0,37.0,28.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,10.0
08/16/2014,Manchester United,Swansea City,1,2,4,8,20,16,10,8,8,14,1.63,1.21,0.97,1.29,11,13,4 - 0 v QPR ( H),3 - 0 v West Brom ( H),3 - 0 v Everton ( A),0 - 5 v Chelsea ( H),59.6,40.4,5.0,4.0,14.0,5.0,752.0,569.0,558.0,383.0,13.0,19.0,12.0,35.0,4.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,14.0,20.0
08/16/2014,Queens Park Rangers,Hull City,0,1,20,18,8,8,6,11,24,19,1.11,0.87,1.92,1.34,6,10,1 - 4 v West Brom ( A),1 - 3 v Sunderland ( A),6 - 0 v Man City ( A),3 - 0 v Man Utd ( A),51.0,49.0,6.0,4.0,19.0,11.0,598.0,600.0,383.0,382.0,14.0,17.0,40.0,56.0,8.0,9.0,0.0,2.0,1.0,2.0,0.0,0.0,10.0,10.0
08/16/2014,Stoke City,Aston Villa,0,1,9,17,15,10,9,8,14,20,1.26,0.82,1.18,1.5,9,10,6 - 1 v Liverpool ( H),0 - 4 v Sunderland ( A),1 - 4 v Man City ( H),6 - 1 v Southampton ( A),63.1,36.9,2.0,1.0,12.0,7.0,749.0,503.0,517.0,289.0,27.0,19.0,43.0,26.0,2.0,8.0,1.0,1.0,0.0,3.0,0.0,0.0,14.0,9.0
08/16/2014,West Bromwich Albion,Sunderland,2,2,13,16,11,7,11,17,16,14,1,0.82,1.34,1.39,16,13,4 - 0 v Burnley ( H),3 - 1 v Stoke ( H),1 - 4 v QPR ( H),8 - 0 v Southampton ( A),57.8,42.2,5.0,2.0,10.0,7.0,628.0,543.0,439.0,323.0,18.0,29.0,15.0,42.0,6.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,18.0,9.0
08/16/2014,West Ham United,Tottenham Hotspur,0,1,12,5,12,19,11,7,15,12,1.16,1.53,1.24,1.39,9,9,3 - 0 v Hull ( H),4 - 0 v QPR ( H),3 - 0 v Arsenal ( A),4 - 1 v Man City ( A),46.6,53.4,4.0,4.0,18.0,10.0,628.0,650.0,414.0,482.0,17.0,19.0,35.0,27.0,8.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,10.0
08/17/2014,Liverpool,Southampton,2,1,6,7,18,18,8,6,12,14,1.37,1.42,1.26,0.87,14,15,4 - 1 v Swansea ( H),8 - 0 v Sunderland ( H),6 - 1 v Stoke ( A),0 - 3 v Man City ( H),56.1,43.9,5.0,6.0,12.0,12.0,849.0,662.0,601.0,450.0,16.0,35.0,50.0,14.0,2.0,6.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,11.0
08/17/2014,Newcastle United,Manchester City,0,2,15,2,10,24,9,7,19,7,1.05,2.18,1.66,1,8,14,0 - 3 v Hull ( A),6 - 0 v QPR ( H),5 - 0 v Man City ( A),4 - 2 v Man Utd ( A),44.2,55.8,0.0,5.0,12.0,13.0,669.0,772.0,460.0,593.0,23.0,29.0,21.0,32.0,3.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,8.0,11.0
08/18/2014,Burnley,Chelsea,1,3,19,1,7,26,12,9,19,3,0.74,1.92,1.39,0.84,10,17,1 - 2 v Stoke ( A),0 - 5 v Swansea ( A),4 - 0 v West Brom ( A),3 - 0 v West Brom ( A),38.6,61.4,2.0,3.0,9.0,11.0,589.0,862.0,413.0,668.0,12.0,19.0,21.0,29.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,6.0,7.0
