Season,Team,Total Post,Total Comments,Score,Postivie,Negative
2017-2018,Sunderland,13,105,51,5,3
2018-2019,Sunderland,8,749,45,4,0
2019-2020,Sunderland,30,367,634,15,5
2012-2013,Swansea,12,42,7,1,0
2013-2014,Swansea,71,547,255,25,4
2014-2015,Swansea,55,233,189,20,1
2015-2016,Swansea,49,162,86,4,0
2016-2017,Swansea,43,235,182,4,4
2017-2018,Swansea,116,925,458,8,3
2018-2019,Swansea,9,586,138,3,1
2019-2020,Swansea,11,20,253,5,5
2012-2013,Tottenham,8,29,5,0,0
2013-2014,Tottenham,112,669,368,37,5
2014-2015,Tottenham,53,353,138,19,2
2015-2016,Tottenham,68,161,120,7,0
2016-2017,Tottenham,109,303,146,9,1
2017-2018,Tottenham,344,1531,838,25,3
2018-2019,Tottenham,243,3561,1563,53,13
2019-2020,Tottenham,308,4949,3729,93,20
2012-2013,WBA,0,0,0,0,0
2013-2014,WBA,4,27,3,2,0
2014-2015,WBA,1,4,5,0,0
2015-2016,WBA,2,25,19,1,0
2016-2017,WBA,2,19,1,0,0
2017-2018,WBA,2,4,0,0,0
2018-2019,WBA,1,56,47,0,0
2019-2020,WBA,2,2,1,2,0
2012-2013,West Ham,4,23,8,0,1
2013-2014,West Ham,80,598,265,25,5
2014-2015,West Ham,49,318,201,19,2
2015-2016,West Ham,53,154,94,8,1
2016-2017,West Ham,62,226,148,5,3
2017-2018,West Ham,163,935,232,14,6
2018-2019,West Ham,128,989,745,32,5
2019-2020,West Ham,166,1429,1604,60,18
