,home_team,away_team,home_score,away_score,home_strength,away_strength,t-3 home_attacking,t-3 home_defending,t-3 home_oppstrength,t-3 home_home,t-3 away_attacking,t-3 away_defending,t-3 away_oppstrength,t-3 away_home,t-2 home_attacking,t-2 home_defending,t-2 home_oppstrength,t-2 home_home,t-2 away_attacking,t-2 away_defending,t-2 away_oppstrength,t-2 away_home,t-1 home_attacking,t-1 home_defending,t-1 home_oppstrength,t-1 home_home,t-1 away_attacking,t-1 away_defending,t-1 away_oppstrength,t-1 away_home
1183,Tottenham Hotspur,Manchester United,2,1,0.6666666666666666,-0.6666666666666666,1,0,0.0,-1,0,0,1.3333333333333333,-1,2,0,0.3333333333333333,1,1,1,-0.3333333333333333,1,0,1,0.0,-1,0,2,-1.3333333333333333,-1
1187,Southampton,Manchester United,0,0,-0.6666666666666666,-1.0,0,0,-1.0,1,1,1,-0.3333333333333333,1,0,0,0.0,-1,0,2,-1.3333333333333333,-1,0,2,0.3333333333333333,1,1,2,0.6666666666666666,-1
1192,Manchester United,Crystal Palace,2,0,-1.0,-1.0,0,2,-1.3333333333333333,-1,0,2,0.0,1,1,2,0.6666666666666666,-1,0,5,1.6666666666666667,-1,0,0,-0.6666666666666666,-1,4,0,-1.3333333333333333,1
1201,Manchester United,West Ham United,4,0,0.3333333333333333,-0.6666666666666666,1,2,0.6666666666666666,-1,1,0,1.6666666666666667,1,0,0,-0.6666666666666666,-1,0,4,0.0,1,2,0,-1.0,1,2,1,0.0,-1
1203,Swansea City,Manchester United,0,4,1.0,2.0,2,0,-0.3333333333333333,-1,0,0,-0.6666666666666666,-1,2,1,-1.0,1,2,0,-1.0,1,0,0,0.0,-1,4,0,-0.6666666666666666,1
1211,Manchester United,Leicester City,2,0,3.3333333333333335,-2.3333333333333335,2,0,-1.0,1,1,2,2.6666666666666665,-1,4,0,-0.6666666666666666,1,1,6,0.6666666666666666,1,4,0,1.0,-1,3,4,2.3333333333333335,-1
1216,Stoke City,Manchester United,2,2,0.0,3.3333333333333335,0,1,0.0,-1,4,0,-0.6666666666666666,1,1,0,1.6666666666666667,1,4,0,1.0,-1,1,1,-0.6666666666666666,-1,2,0,-2.3333333333333335,1
1227,Manchester United,Everton,4,0,2.0,-1.6666666666666667,4,0,1.0,-1,1,1,2.6666666666666665,-1,2,0,-2.3333333333333335,1,0,2,0.0,-1,2,2,0.0,-1,0,3,0.3333333333333333,1
1233,Southampton,Manchester United,0,1,0.6666666666666666,2.0,0,0,1.3333333333333333,1,2,0,-2.3333333333333335,1,3,2,0.0,1,2,2,0.0,-1,1,0,0.0,-1,4,0,-1.6666666666666667,1
1236,Manchester United,Crystal Palace,4,0,1.6666666666666667,-2.3333333333333335,2,2,0.0,-1,0,1,0.0,-1,4,0,-1.6666666666666667,1,0,1,0.0,1,1,0,0.6666666666666666,-1,0,5,2.3333333333333335,-1
